front,back
"Was ist das Stichtagsprinzip?</vorn>
","Das Stichtagsprinzip besagt, dass der Wert der Vermögensgegenstände und Schulden eines Unternehmens zum Bilanzstichtag ermittelt und dokumentiert werden muss.</hinten>

<vorn>Was ist das Verlustfreier-Stichtagsprinzip?</vorn>
<hinten>Das Verlustfreier-Stichtagsprinzip besagt, dass Verluste bereits dann erfasst werden müssen, wenn sie zum Bilanzstichtag wahrscheinlich sind, auch wenn sie erst in der Zukunft tatsächlich eintreten.</hinten>

<vorn>Was besagt das Periodisierungsprinzip?</vorn>
<hinten>Das Periodisierungsprinzip besagt, dass Erträge und Aufwendungen dem Zeitraum zugeordnet werden müssen, in dem sie wirtschaftlich verursacht wurden, unabhängig davon, wann sie tatsächlich gezahlt oder erhalten wurden.</hinten>

<vorn>Was ist das Einzelbewertungsprinzip?</vorn>
<hinten>Das Einzelbewertungsprinzip besagt, dass jeder einzelne Vermögensgegenstand und jede einzelne Schuld gesondert bewertet und erfasst werden müssen.</hinten>

<vorn>Was ist das Prinzip der Bildung von Drohverlustrückstellungen?</vorn>
<hinten>Das Prinzip der Bildung von Drohverlustrückstellungen besagt, dass Rückstellungen für mögliche Verluste gebildet werden müssen, wenn eine drohende Verlustsituation erkennbar ist, auch wenn der Verlust noch nicht eingetreten ist.</hinten>

<vorn>Was besagt das Fortführungsprinzip?</vorn>
<hinten>Das Fortführungsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden davon ausgegangen wird, dass das Unternehmen seine Tätigkeit fortsetzen wird, es sei denn, es gibt Hinweise auf das Gegenteil.</hinten>

<vorn>Was besagt das Stetigkeitsprinzip?</vorn>
<hinten>Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
"Was ist das Verlustfreier-Stichtagsprinzip?</vorn>
","Das Verlustfreier-Stichtagsprinzip besagt, dass Verluste bereits dann erfasst werden müssen, wenn sie zum Bilanzstichtag wahrscheinlich sind, auch wenn sie erst in der Zukunft tatsächlich eintreten.</hinten>

<vorn>Was besagt das Periodisierungsprinzip?</vorn>
<hinten>Das Periodisierungsprinzip besagt, dass Erträge und Aufwendungen dem Zeitraum zugeordnet werden müssen, in dem sie wirtschaftlich verursacht wurden, unabhängig davon, wann sie tatsächlich gezahlt oder erhalten wurden.</hinten>

<vorn>Was ist das Einzelbewertungsprinzip?</vorn>
<hinten>Das Einzelbewertungsprinzip besagt, dass jeder einzelne Vermögensgegenstand und jede einzelne Schuld gesondert bewertet und erfasst werden müssen.</hinten>

<vorn>Was ist das Prinzip der Bildung von Drohverlustrückstellungen?</vorn>
<hinten>Das Prinzip der Bildung von Drohverlustrückstellungen besagt, dass Rückstellungen für mögliche Verluste gebildet werden müssen, wenn eine drohende Verlustsituation erkennbar ist, auch wenn der Verlust noch nicht eingetreten ist.</hinten>

<vorn>Was besagt das Fortführungsprinzip?</vorn>
<hinten>Das Fortführungsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden davon ausgegangen wird, dass das Unternehmen seine Tätigkeit fortsetzen wird, es sei denn, es gibt Hinweise auf das Gegenteil.</hinten>

<vorn>Was besagt das Stetigkeitsprinzip?</vorn>
<hinten>Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
"Was besagt das Periodisierungsprinzip?</vorn>
","Das Periodisierungsprinzip besagt, dass Erträge und Aufwendungen dem Zeitraum zugeordnet werden müssen, in dem sie wirtschaftlich verursacht wurden, unabhängig davon, wann sie tatsächlich gezahlt oder erhalten wurden.</hinten>

<vorn>Was ist das Einzelbewertungsprinzip?</vorn>
<hinten>Das Einzelbewertungsprinzip besagt, dass jeder einzelne Vermögensgegenstand und jede einzelne Schuld gesondert bewertet und erfasst werden müssen.</hinten>

<vorn>Was ist das Prinzip der Bildung von Drohverlustrückstellungen?</vorn>
<hinten>Das Prinzip der Bildung von Drohverlustrückstellungen besagt, dass Rückstellungen für mögliche Verluste gebildet werden müssen, wenn eine drohende Verlustsituation erkennbar ist, auch wenn der Verlust noch nicht eingetreten ist.</hinten>

<vorn>Was besagt das Fortführungsprinzip?</vorn>
<hinten>Das Fortführungsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden davon ausgegangen wird, dass das Unternehmen seine Tätigkeit fortsetzen wird, es sei denn, es gibt Hinweise auf das Gegenteil.</hinten>

<vorn>Was besagt das Stetigkeitsprinzip?</vorn>
<hinten>Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
"Was ist das Einzelbewertungsprinzip?</vorn>
","Das Einzelbewertungsprinzip besagt, dass jeder einzelne Vermögensgegenstand und jede einzelne Schuld gesondert bewertet und erfasst werden müssen.</hinten>

<vorn>Was ist das Prinzip der Bildung von Drohverlustrückstellungen?</vorn>
<hinten>Das Prinzip der Bildung von Drohverlustrückstellungen besagt, dass Rückstellungen für mögliche Verluste gebildet werden müssen, wenn eine drohende Verlustsituation erkennbar ist, auch wenn der Verlust noch nicht eingetreten ist.</hinten>

<vorn>Was besagt das Fortführungsprinzip?</vorn>
<hinten>Das Fortführungsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden davon ausgegangen wird, dass das Unternehmen seine Tätigkeit fortsetzen wird, es sei denn, es gibt Hinweise auf das Gegenteil.</hinten>

<vorn>Was besagt das Stetigkeitsprinzip?</vorn>
<hinten>Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
"Was ist das Prinzip der Bildung von Drohverlustrückstellungen?</vorn>
","Das Prinzip der Bildung von Drohverlustrückstellungen besagt, dass Rückstellungen für mögliche Verluste gebildet werden müssen, wenn eine drohende Verlustsituation erkennbar ist, auch wenn der Verlust noch nicht eingetreten ist.</hinten>

<vorn>Was besagt das Fortführungsprinzip?</vorn>
<hinten>Das Fortführungsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden davon ausgegangen wird, dass das Unternehmen seine Tätigkeit fortsetzen wird, es sei denn, es gibt Hinweise auf das Gegenteil.</hinten>

<vorn>Was besagt das Stetigkeitsprinzip?</vorn>
<hinten>Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
"Was besagt das Fortführungsprinzip?</vorn>
","Das Fortführungsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden davon ausgegangen wird, dass das Unternehmen seine Tätigkeit fortsetzen wird, es sei denn, es gibt Hinweise auf das Gegenteil.</hinten>

<vorn>Was besagt das Stetigkeitsprinzip?</vorn>
<hinten>Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
"Was besagt das Stetigkeitsprinzip?</vorn>
","Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Gewinne nur dann berücksichtigt werden dürfen, wenn sie ""realisiert"" sind.</hinten>

<vorn>Welche Bedingungen müssen erfüllt sein, damit ein Gewinn berücksichtigt wird?</vorn>
<hinten>Ein Gewinn muss ""so gut wie sicher"" sein; bloße Hoffnungen und Erwartungen reichen nicht aus.</hinten>

<vorn>Welche Art von Vermögensmehrung findet grundsätzlich statt beim Kaufmann?</vorn>
<hinten>Eine Vermögensmehrung findet grundsätzlich statt bei Lieferung und Leistung.</hinten>

<vorn>Werden Werterhöhungen am ruhenden Vermögen berücksichtigt?</vorn>
<hinten>Nein, Werterhöhungen am ruhenden Vermögen werden grundsätzlich nicht berücksichtigt.</hinten>

<vorn>Was ist das Realisationsprinzip in Bezug auf Bilanzierung?</vorn>
<hinten>Das Realisationsprinzip ist das zentrale Bilanzierungsprinzip für Ansatz und Bewertung.</hinten>"
"Welche Bedingungen müssen erfüllt sein, damit ein Gewinn berücksichtigt wird?</vorn>
","Ein Gewinn muss ""so gut wie sicher"" sein; bloße Hoffnungen und Erwartungen reichen nicht aus.</hinten>

<vorn>Welche Art von Vermögensmehrung findet grundsätzlich statt beim Kaufmann?</vorn>
<hinten>Eine Vermögensmehrung findet grundsätzlich statt bei Lieferung und Leistung.</hinten>

<vorn>Werden Werterhöhungen am ruhenden Vermögen berücksichtigt?</vorn>
<hinten>Nein, Werterhöhungen am ruhenden Vermögen werden grundsätzlich nicht berücksichtigt.</hinten>

<vorn>Was ist das Realisationsprinzip in Bezug auf Bilanzierung?</vorn>
<hinten>Das Realisationsprinzip ist das zentrale Bilanzierungsprinzip für Ansatz und Bewertung.</hinten>"
"Welche Art von Vermögensmehrung findet grundsätzlich statt beim Kaufmann?</vorn>
","Eine Vermögensmehrung findet grundsätzlich statt bei Lieferung und Leistung.</hinten>

<vorn>Werden Werterhöhungen am ruhenden Vermögen berücksichtigt?</vorn>
<hinten>Nein, Werterhöhungen am ruhenden Vermögen werden grundsätzlich nicht berücksichtigt.</hinten>

<vorn>Was ist das Realisationsprinzip in Bezug auf Bilanzierung?</vorn>
<hinten>Das Realisationsprinzip ist das zentrale Bilanzierungsprinzip für Ansatz und Bewertung.</hinten>"
"Werden Werterhöhungen am ruhenden Vermögen berücksichtigt?</vorn>
","Nein, Werterhöhungen am ruhenden Vermögen werden grundsätzlich nicht berücksichtigt.</hinten>

<vorn>Was ist das Realisationsprinzip in Bezug auf Bilanzierung?</vorn>
<hinten>Das Realisationsprinzip ist das zentrale Bilanzierungsprinzip für Ansatz und Bewertung.</hinten>"
"Was ist das Realisationsprinzip in Bezug auf Bilanzierung?</vorn>
",Das Realisationsprinzip ist das zentrale Bilanzierungsprinzip für Ansatz und Bewertung.</hinten>
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Gewinne erst dann verbucht werden dürfen, wenn sie realisiert, also vollständig realisiert sind.</hinten>

<vorn>Wann wird ein Gewinn nach dem Realisationsprinzip als realisiert betrachtet?</vorn>
<hinten>Ein Gewinn wird nach dem Realisationsprinzip als realisiert betrachtet, wenn eine Forderung in Höhe des erzielten Gewinns entstanden ist.</hinten>

<vorn>Was passiert, wenn ein erwarteter Gewinn nach dem Stichtag nicht realisiert wird?</vorn>
<hinten>Wenn ein erwarteter Gewinn nach dem Stichtag nicht realisiert wird, wird er nicht verbucht und als unrealisierter Gewinn betrachtet.</hinten>

<vorn>Was passiert, wenn liquide Mittel später eingehen?</vorn>
<hinten>Wenn liquide Mittel später eingehen, hat dies keine Auswirkung auf die Verbuchung des Gewinns. Die Forderung wird durch liquide Mittel ersetzt, bleibt aber erfolgsneutral.</hinten>"
"Wann wird ein Gewinn nach dem Realisationsprinzip als realisiert betrachtet?</vorn>
","Ein Gewinn wird nach dem Realisationsprinzip als realisiert betrachtet, wenn eine Forderung in Höhe des erzielten Gewinns entstanden ist.</hinten>

<vorn>Was passiert, wenn ein erwarteter Gewinn nach dem Stichtag nicht realisiert wird?</vorn>
<hinten>Wenn ein erwarteter Gewinn nach dem Stichtag nicht realisiert wird, wird er nicht verbucht und als unrealisierter Gewinn betrachtet.</hinten>

<vorn>Was passiert, wenn liquide Mittel später eingehen?</vorn>
<hinten>Wenn liquide Mittel später eingehen, hat dies keine Auswirkung auf die Verbuchung des Gewinns. Die Forderung wird durch liquide Mittel ersetzt, bleibt aber erfolgsneutral.</hinten>"
"Was passiert, wenn ein erwarteter Gewinn nach dem Stichtag nicht realisiert wird?</vorn>
","Wenn ein erwarteter Gewinn nach dem Stichtag nicht realisiert wird, wird er nicht verbucht und als unrealisierter Gewinn betrachtet.</hinten>

<vorn>Was passiert, wenn liquide Mittel später eingehen?</vorn>
<hinten>Wenn liquide Mittel später eingehen, hat dies keine Auswirkung auf die Verbuchung des Gewinns. Die Forderung wird durch liquide Mittel ersetzt, bleibt aber erfolgsneutral.</hinten>"
"Was passiert, wenn liquide Mittel später eingehen?</vorn>
","Wenn liquide Mittel später eingehen, hat dies keine Auswirkung auf die Verbuchung des Gewinns. Die Forderung wird durch liquide Mittel ersetzt, bleibt aber erfolgsneutral.</hinten>"
"Was besagt das Realisationsprinzip II?</vorn>
","Einnahmen, die einem späteren Umsatz zuzurechnen sind, bleiben durch Passivierung erfolgsneutral bis zum Umsatzzeitpunkt.</hinten>

<vorn>Welches Beispiel verdeutlicht das Realisationsprinzip II?</vorn>
<hinten>Eine Kundenanzahlung für eine Maschine, die erst zu einem späteren Zeitpunkt verkauft wird.</hinten>

<vorn>Wie wird eine Kundenanzahlung nach dem Realisationsprinzip II gebucht?</vorn>
<hinten>Kasse an erhaltene Anzahlung.</hinten>"
"Welches Beispiel verdeutlicht das Realisationsprinzip II?</vorn>
","Eine Kundenanzahlung für eine Maschine, die erst zu einem späteren Zeitpunkt verkauft wird.</hinten>

<vorn>Wie wird eine Kundenanzahlung nach dem Realisationsprinzip II gebucht?</vorn>
<hinten>Kasse an erhaltene Anzahlung.</hinten>"
"Wie wird eine Kundenanzahlung nach dem Realisationsprinzip II gebucht?</vorn>
",Kasse an erhaltene Anzahlung.</hinten>
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Erlöse erst dann in der Buchhaltung erfasst werden dürfen, wenn sie realisiert und somit wirtschaftlich verwertbar sind.</hinten>

<vorn>Warum ist das Realisationsprinzip wichtig?</vorn>
<hinten>Das Realisationsprinzip dient der korrekten und einheitlichen Erfassung von Erlösen in der Buchführung, um das Ergebnis eines Unternehmens korrekt auszuweisen.</hinten>

<vorn>Welchen Zusammenhang gibt es zwischen dem Realisationsprinzip und Kundenanzahlungen?</vorn>
<hinten>Kundenanzahlungen werden als Erlöse erfasst, sobald das Realisationsprinzip erfüllt ist, d.h. wenn die Kundenanzahlungen realisiert und wirtschaftlich verwertbar sind.</hinten>

<vorn>Wie wird eine Kundenanzahlung in der Buchhaltung gebucht?</vorn>
<hinten>Die Kundenanzahlung wird als erhöhte Anzahlung bei den Umsatzerlösen erfasst.</hinten>"
"Warum ist das Realisationsprinzip wichtig?</vorn>
","Das Realisationsprinzip dient der korrekten und einheitlichen Erfassung von Erlösen in der Buchführung, um das Ergebnis eines Unternehmens korrekt auszuweisen.</hinten>

<vorn>Welchen Zusammenhang gibt es zwischen dem Realisationsprinzip und Kundenanzahlungen?</vorn>
<hinten>Kundenanzahlungen werden als Erlöse erfasst, sobald das Realisationsprinzip erfüllt ist, d.h. wenn die Kundenanzahlungen realisiert und wirtschaftlich verwertbar sind.</hinten>

<vorn>Wie wird eine Kundenanzahlung in der Buchhaltung gebucht?</vorn>
<hinten>Die Kundenanzahlung wird als erhöhte Anzahlung bei den Umsatzerlösen erfasst.</hinten>"
"Welchen Zusammenhang gibt es zwischen dem Realisationsprinzip und Kundenanzahlungen?</vorn>
","Kundenanzahlungen werden als Erlöse erfasst, sobald das Realisationsprinzip erfüllt ist, d.h. wenn die Kundenanzahlungen realisiert und wirtschaftlich verwertbar sind.</hinten>

<vorn>Wie wird eine Kundenanzahlung in der Buchhaltung gebucht?</vorn>
<hinten>Die Kundenanzahlung wird als erhöhte Anzahlung bei den Umsatzerlösen erfasst.</hinten>"
"Wie wird eine Kundenanzahlung in der Buchhaltung gebucht?</vorn>
",Die Kundenanzahlung wird als erhöhte Anzahlung bei den Umsatzerlösen erfasst.</hinten>
"Was besagt das Realisationsprinzip innerhalb der Grundsätze ordnungsmäßiger Buchführung?</vorn>
","Das Realisationsprinzip besagt, dass Ausgaben, die vor einem Umsatz erfolgen, durch Aktivierung und als Aufwand den durch sie alimentierten Erträgen gegenübergestellt werden.</hinten>

<vorn>Wie lässt sich das Realisationsprinzip anhand eines Beispiels erläutern?</vorn>
<hinten>Ein Beispiel dafür ist der Anlagenkauf einer Maschine. Die Ausgabe für den Kauf wird aktiviert und als Aufwand den durch die Maschine alimentierten Erträgen gegenübergestellt.</hinten>

<vorn>Welche Buchungssätze werden für einen Anlagenkauf gemäß dem Realisationsprinzip gebucht?</vorn>
<hinten>Der Buchungssatz lautet ""Maschine an Kasse"" mit dem Betrag des Anlagenkaufs.</hinten>"
"Wie lässt sich das Realisationsprinzip anhand eines Beispiels erläutern?</vorn>
","Ein Beispiel dafür ist der Anlagenkauf einer Maschine. Die Ausgabe für den Kauf wird aktiviert und als Aufwand den durch die Maschine alimentierten Erträgen gegenübergestellt.</hinten>

<vorn>Welche Buchungssätze werden für einen Anlagenkauf gemäß dem Realisationsprinzip gebucht?</vorn>
<hinten>Der Buchungssatz lautet ""Maschine an Kasse"" mit dem Betrag des Anlagenkaufs.</hinten>"
"Welche Buchungssätze werden für einen Anlagenkauf gemäß dem Realisationsprinzip gebucht?</vorn>
","Der Buchungssatz lautet ""Maschine an Kasse"" mit dem Betrag des Anlagenkaufs.</hinten>"
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Erlöse erst dann verbucht werden dürfen, wenn sie realisiert sind.</hinten>

<vorn>Wie wird der Anlagenkauf in der Buchführung erfasst?</vorn>
<hinten>Der Anlagenkauf wird durch eine Buchung auf dem Konto ""Maschine"" erfasst.</hinten>

<vorn>Wie wird die Abschreibung einer Maschine gebucht?</vorn>
<hinten>Die Abschreibung einer Maschine wird durch eine Buchung auf dem Konto ""Absch. Maschine"" erfasst.</hinten>

<vorn>Wie werden die Umsatzerlöse aus Produktion gebucht?</vorn>
<hinten>Die Umsatzerlöse aus Produktion werden durch eine Buchung auf dem Konto ""Erlöse"" erfasst.</hinten>"
"Wie wird der Anlagenkauf in der Buchführung erfasst?</vorn>
","Der Anlagenkauf wird durch eine Buchung auf dem Konto ""Maschine"" erfasst.</hinten>

<vorn>Wie wird die Abschreibung einer Maschine gebucht?</vorn>
<hinten>Die Abschreibung einer Maschine wird durch eine Buchung auf dem Konto ""Absch. Maschine"" erfasst.</hinten>

<vorn>Wie werden die Umsatzerlöse aus Produktion gebucht?</vorn>
<hinten>Die Umsatzerlöse aus Produktion werden durch eine Buchung auf dem Konto ""Erlöse"" erfasst.</hinten>"
"Wie wird die Abschreibung einer Maschine gebucht?</vorn>
","Die Abschreibung einer Maschine wird durch eine Buchung auf dem Konto ""Absch. Maschine"" erfasst.</hinten>

<vorn>Wie werden die Umsatzerlöse aus Produktion gebucht?</vorn>
<hinten>Die Umsatzerlöse aus Produktion werden durch eine Buchung auf dem Konto ""Erlöse"" erfasst.</hinten>"
"Wie werden die Umsatzerlöse aus Produktion gebucht?</vorn>
","Die Umsatzerlöse aus Produktion werden durch eine Buchung auf dem Konto ""Erlöse"" erfasst.</hinten>"
"Was besagt das Realisationsprinzip VI?</vorn>
","Einnahmen aus Umsätzen, die später zufließen, sind Ertrag und bis zum Zuflusszeitpunkt zu aktivieren.</hinten>

<vorn>Welche Auswirkungen hat das Realisationsprinzip VI?</vorn>
<hinten>Einnahmen werden erst dann als Ertrag verbucht, wenn der Geldzufluss erfolgt ist.</hinten>

<vorn>Geben Sie ein Beispiel für die Anwendung des Realisationsprinzips VI.</vorn>
<hinten>Eine Forderung aus einer Warenlieferung wird erst als Ertrag verbucht, wenn das Geld von dem Kunden eingegangen ist.</hinten>

<vorn>Was passiert mit den Einnahmen, die erst später zufließen?</vorn>
<hinten>Sie werden bis zum Zuflusszeitpunkt aktiviert, d.h. als Forderung in der Bilanz ausgewiesen.</hinten>"
"Welche Auswirkungen hat das Realisationsprinzip VI?</vorn>
","Einnahmen werden erst dann als Ertrag verbucht, wenn der Geldzufluss erfolgt ist.</hinten>

<vorn>Geben Sie ein Beispiel für die Anwendung des Realisationsprinzips VI.</vorn>
<hinten>Eine Forderung aus einer Warenlieferung wird erst als Ertrag verbucht, wenn das Geld von dem Kunden eingegangen ist.</hinten>

<vorn>Was passiert mit den Einnahmen, die erst später zufließen?</vorn>
<hinten>Sie werden bis zum Zuflusszeitpunkt aktiviert, d.h. als Forderung in der Bilanz ausgewiesen.</hinten>"
"Geben Sie ein Beispiel für die Anwendung des Realisationsprinzips VI.</vorn>
","Eine Forderung aus einer Warenlieferung wird erst als Ertrag verbucht, wenn das Geld von dem Kunden eingegangen ist.</hinten>

<vorn>Was passiert mit den Einnahmen, die erst später zufließen?</vorn>
<hinten>Sie werden bis zum Zuflusszeitpunkt aktiviert, d.h. als Forderung in der Bilanz ausgewiesen.</hinten>"
"Was passiert mit den Einnahmen, die erst später zufließen?</vorn>
","Sie werden bis zum Zuflusszeitpunkt aktiviert, d.h. als Forderung in der Bilanz ausgewiesen.</hinten>"
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Erträge und Aufwendungen erst dann in der Buchführung erfasst werden dürfen, wenn sie realisiert sind.</hinten>

<vorn>Was bedeutet es, wenn eine Forderung aus Warenlieferung beglichen wird?</vorn>
<hinten>Wenn eine Forderung aus Warenlieferung beglichen wird, bedeutet dies, dass der Kunde die offene Rechnung bezahlt hat.</hinten>

<vorn>Welchen Buchungssatz verwendet man, um die Begleichung einer Forderung aus Warenlieferung zu erfassen?</vorn>
<hinten>Der Buchungssatz lautet: Kasse an Forderung</hinten>"
"Was bedeutet es, wenn eine Forderung aus Warenlieferung beglichen wird?</vorn>
","Wenn eine Forderung aus Warenlieferung beglichen wird, bedeutet dies, dass der Kunde die offene Rechnung bezahlt hat.</hinten>

<vorn>Welchen Buchungssatz verwendet man, um die Begleichung einer Forderung aus Warenlieferung zu erfassen?</vorn>
<hinten>Der Buchungssatz lautet: Kasse an Forderung</hinten>"
"Welchen Buchungssatz verwendet man, um die Begleichung einer Forderung aus Warenlieferung zu erfassen?</vorn>
",Der Buchungssatz lautet: Kasse an Forderung</hinten>
"Was besagt das Realisationsprinzip VIII?</vorn>
","Zukünftige Ausgaben, die auf realisierten Umsätzen lasten, sind als Aufwand im Umsatzzeitpunkt zu passivieren.</hinten>

<vorn>Welches Beispiel wird oft zur Veranschaulichung des Realisationsprinzips VIII verwendet?</vorn>
<hinten>Die Gewährleistungsverpflichtung aus dem Verkauf einer Maschine.</hinten>"
"Welches Beispiel wird oft zur Veranschaulichung des Realisationsprinzips VIII verwendet?</vorn>
",Die Gewährleistungsverpflichtung aus dem Verkauf einer Maschine.</hinten>
"Was besagt das Realisationsprinzip in der Buchführung?</vorn>
","Das Realisationsprinzip besagt, dass Erträge und Aufwendungen in der Buchführung erst erfasst werden dürfen, wenn sie realisiert sind.</hinten>

<vorn>Was bedeutet es, wenn eine Gewährleistungsverpflichtung erfüllt werden muss?</vorn>
<hinten>Wenn eine Gewährleistungsverpflichtung erfüllt werden muss, bedeutet dies, dass das Unternehmen für Fehler oder Mängel in seinen verkauften Produkten haftet und diese beheben oder den Kaufpreis zurückerstatten muss.</hinten>

<vorn>Wie wird eine Gewährleistungsverpflichtung in der Buchführung erfasst?</vorn>
<hinten>Eine Gewährleistungsverpflichtung wird in der Buchführung als Rückstellung erfasst. Hierbei wird der Betrag, der voraussichtlich für die Erfüllung der Gewährleistungsverpflichtung benötigt wird, als Aufwand verbucht.</hinten>"
"Was bedeutet es, wenn eine Gewährleistungsverpflichtung erfüllt werden muss?</vorn>
","Wenn eine Gewährleistungsverpflichtung erfüllt werden muss, bedeutet dies, dass das Unternehmen für Fehler oder Mängel in seinen verkauften Produkten haftet und diese beheben oder den Kaufpreis zurückerstatten muss.</hinten>

<vorn>Wie wird eine Gewährleistungsverpflichtung in der Buchführung erfasst?</vorn>
<hinten>Eine Gewährleistungsverpflichtung wird in der Buchführung als Rückstellung erfasst. Hierbei wird der Betrag, der voraussichtlich für die Erfüllung der Gewährleistungsverpflichtung benötigt wird, als Aufwand verbucht.</hinten>"
"Wie wird eine Gewährleistungsverpflichtung in der Buchführung erfasst?</vorn>
","Eine Gewährleistungsverpflichtung wird in der Buchführung als Rückstellung erfasst. Hierbei wird der Betrag, der voraussichtlich für die Erfüllung der Gewährleistungsverpflichtung benötigt wird, als Aufwand verbucht.</hinten>"
"Was besagt das Realisationsprinzip in der Buchführung?</vorn>
","Das Realisationsprinzip besagt, dass Einnahmen und Ausgaben, die nicht durch Umsätze induziert sind, nur die Bilanz berühren, aber nicht den Erfolg der Unternehmung.</hinten>

<vorn>Was passiert bei der Aufnahme und Tilgung eines Kredits in der Buchführung?</vorn>
<hinten>Bei der Aufnahme und Tilgung eines Kredits werden nur die Bilanzposten verändert, der Erfolg der Unternehmung bleibt unberührt.</hinten>"
"Was passiert bei der Aufnahme und Tilgung eines Kredits in der Buchführung?</vorn>
","Bei der Aufnahme und Tilgung eines Kredits werden nur die Bilanzposten verändert, der Erfolg der Unternehmung bleibt unberührt.</hinten>"
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Ausgaben und Einnahmen in Aufwendungen und Erträge umgewandelt werden.</hinten>

<vorn>Welcher Grundsatz bezieht sich auf die Nichtbilanzierung schwebender Geschäfte?</vorn>
<hinten>Der Grundsatz der Nichtbilanzierung schwebender Geschäfte besagt, dass diese nicht in der Bilanz erfasst werden.</hinten>

<vorn>Was ist der Zweck des Realisationsprinzips?</vorn>
<hinten>Der Zweck des Realisationsprinzips ist es, Ausgaben und Einnahmen in Aufwendungen und Erträge umzuwandeln.</hinten>"
"Welcher Grundsatz bezieht sich auf die Nichtbilanzierung schwebender Geschäfte?</vorn>
","Der Grundsatz der Nichtbilanzierung schwebender Geschäfte besagt, dass diese nicht in der Bilanz erfasst werden.</hinten>

<vorn>Was ist der Zweck des Realisationsprinzips?</vorn>
<hinten>Der Zweck des Realisationsprinzips ist es, Ausgaben und Einnahmen in Aufwendungen und Erträge umzuwandeln.</hinten>"
"Was ist der Zweck des Realisationsprinzips?</vorn>
","Der Zweck des Realisationsprinzips ist es, Ausgaben und Einnahmen in Aufwendungen und Erträge umzuwandeln.</hinten>"
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Erträge in der Buchhaltung erst erfasst werden dürfen, wenn sie realisiert sind, also wenn Leistungen erbracht und Zahlungen vereinnahmt wurden.</hinten>

<vorn>Was sind schwebende Geschäfte?</vorn>
<hinten>Schwebende Geschäfte sind zweiseitig verpflichtende Verträge, bei denen eine Leistung erst in der Zukunft erbracht wird und somit noch nicht erfüllt ist.</hinten>

<vorn>Warum werden schwebende Geschäfte nicht in der Bilanz ausgewiesen?</vorn>
<hinten>Schwebende Geschäfte werden nicht in der Bilanz ausgewiesen, um unsichere Erträge zu verhindern und dem Realisationsprinzip zu folgen.</hinten>

<vorn>Was besagt die Ausgeglichenheitsvermutung bei schwebenden Geschäften?</vorn>
<hinten>Während des Schwebezustands besteht eine (widerlegbare) Ausgeglichenheitsvermutung, dass sich Rechte und Pflichten wertmäßig entsprechen.</hinten>"
